Date_class,retweet_count,favorite_count,followers_count,predict_class_label
4,2,10,0.136,4
4,4,0,0.0364,4
3,12,0,0.0364,4
4,7,0,0.0364,3
3,4,0,0.0364,4
3,2879,0,0.435,1
2,1,5,1.43,2
2,962,0,0.435,4
0,2,19,0.136,3
3,11,101,0.136,4
0,390,1130,6.82,2
3,0,0,0.136,4
4,0,10,0.0364,4
4,10917,29599,43,2
0,33,181,6.82,4
2,31,0,6.82,2
1,18,0,0.435,1
1,2,0,1.43,2
0,0,1,0.0364,2
3,17,0,6.82,2
3,235,0,6.82,4
3,3760,3108,43,2
1,263,1254,6.82,4
2,768,0,0.0364,2
4,5,16,0.136,3
3,1,3,0.136,2
3,157,0,6.82,2
0,0,0,0.136,1
0,1,0,1.43,2
2,18,128,6.82,2
0,69,803,6.82,4
4,1966,0,0.136,1
0,247,0,0.0364,4
1,7,0,1.43,2
1,2,4,1.43,2
0,11,41,0.136,4
4,0,1,0.136,4
0,152,954,6.82,2
0,4,0,1.43,4
4,22665,81739,43,4
3,83,0,0.435,4
4,6711,17374,43,2
2,646,0,0.435,1
3,0,1,0.0364,4
0,1734,0,0.435,1
0,851,0,0.435,4
1,92,633,6.82,4
3,2405,11927,43,4
3,16,52,0.435,2
3,28,180,1.43,3
0,0,4,6.82,4
3,28,0,0.435,2
3,46,0,0.0364,4
0,663,1335,43,2
3,0,0,0.0364,2
0,927,830,43,4
0,638,0,0.0364,4
2,56,441,6.82,2
0,8,0,0.136,4
3,20,46,1.43,3
1,558,0,0.435,3
0,17,68,0.136,4
4,1,0,0.0364,1
2,0,0,1.43,2
4,26,0,1.43,4
2,15,68,1.43,4
1,3962,0,0.435,4
4,16,37,0.136,3
3,0,0,0.136,4
1,333,0,0.435,2
0,2043,0,1.43,4
1,7,31,1.43,4
0,57,294,6.82,4
3,54,0,0.435,4
0,403,833,43,2
4,0,0,0.0364,4
3,6,0,0.136,4
0,1260,0,1.43,2
4,0,0,0.0364,2
0,0,5,0.0364,4
3,105,0,0.435,2
0,19,161,6.82,4
1,2071,0,0.435,2
0,487,297,43,2
0,0,0,1.43,2
1,547,1202,43,2
0,588,2322,43,2
4,251,244,43,2
1,493,0,0.435,4
3,2749,0,0.435,2
4,48,0,0.136,4
0,37810,56238,43,1
4,1,0,0.0364,2
4,90,0,6.82,1
0,688,1979,6.82,2
2,139,261,0.435,2
1,217,0,1.43,4
2,58,323,6.82,3
4,2,5,0.136,4
1,34,239,6.82,3
0,1285,586,43,2
4,0,3,0.0364,4
2,1650,0,0.435,4
0,0,2,6.82,4
1,1832,0,0.435,1
0,343,0,43,4
3,51,0,0.435,2
0,1255,430,43,2
1,3830,0,0.435,4
3,147,566,43,3
3,0,3,0.0364,4
3,9,0,0.435,4
3,1,21,1.43,4
1,12433,34230,6.82,1
0,174,0,0.0364,2
3,0,0,0.136,2
1,423,0,0.435,3
4,0,1,0.0364,4
2,110,0,0.435,1
0,9069,13405,43,2
1,58,171,1.43,4
3,47,0,0.435,3
3,0,1,0.136,4
1,0,8,1.43,2
3,0,1,1.43,2
3,64,0,0.0364,3
3,124,0,0.435,1
2,3435,0,0.435,1
3,234,1235,6.82,4
3,25,26,0.136,4
4,6150,25809,43,2
4,540,0,43,2
4,2,10,0.136,4
3,640,0,0.0364,3
3,0,15,0.0364,4
3,6973,7048,43,2
3,166,0,0.435,1
1,369,4835,6.82,2
4,1693,11980,43,2
2,536,0,0.435,1
4,1,0,0.0364,4
3,405,4157,43,2
2,19,63,1.43,2
3,7,0,0.136,4
4,14,30,0.136,4
4,14856,76155,43,2
4,2,30,0.136,2
0,12,0,0.435,2
2,108,369,1.43,4
3,113,0,1.43,2
3,41,180,6.82,4
0,2329,8864,6.82,4
4,19,52,0.136,2
0,2100,19706,43,4
3,78,484,6.82,2
0,6,0,0.136,2
1,5,0,1.43,3
4,162,0,0.136,2
0,3067,4701,43,2
0,1323,3250,43,1
3,32,388,6.82,2
2,31,0,0.435,3
0,301,1342,6.82,2
2,1303,0,0.435,1
1,9,0,1.43,3
4,1046,6870,43,2
0,0,0,1.43,2
0,0,2,0.0364,2
0,148,0,43,2
3,42,100,1.43,4
0,94,0,6.82,4
0,373,944,43,2
3,40524,80566,43,4
4,7,9,0.136,4
4,107,0,0.136,4
3,300,2158,43,2
3,113,0,0.435,4
0,422,1425,43,4
0,249,1166,6.82,2
0,6,0,1.43,2
3,34,0,1.43,1
3,539,0,1.43,4
2,140,0,0.435,1
1,37,0,1.43,1
0,565,0,6.82,4
3,10,18,0.136,3
2,10,0,1.43,2
3,1,2,0.136,3
4,214,459,43,4
3,9,0,0.435,1
3,4245,0,0.435,3
0,0,1,1.43,2
3,17,28,0.136,4
1,27,132,1.43,4
3,176,2174,43,2
2,8,0,1.43,4
3,24,0,0.0364,4
2,1,0,0.435,3
0,7,0,1.43,3
0,0,4,1.43,4
2,107,0,0.435,1
3,0,3,1.43,4
3,8,47,1.43,2
2,9,0,6.82,2
0,31,152,6.82,2
3,2829,10160,43,2
0,2115,4666,43,2
3,4830,7746,43,4
0,77,0,0.435,4
1,1371,0,0.435,4
3,4,0,0.435,4
2,16,106,6.82,2
0,724,0,0.0364,3
2,11,0,1.43,2
3,213,0,0.0364,4
4,17,28,0.136,3
3,21,0,0.136,4
3,2,4,0.0364,1
0,238,324,43,1
0,1353,9222,43,2
2,2732,3593,43,4
0,91,0,0.0364,4
3,0,9,0.0364,4
4,2272,0,0.0364,2
0,3,0,0.136,4
1,216,0,1.43,3
0,31,0,6.82,2
2,40,0,0.435,1
3,809,0,0.435,4
0,21,142,6.82,4
0,262,690,43,2
3,27,0,1.43,4
2,3,0,0.435,4
2,0,0,0.0364,4
0,0,3,1.43,4
3,705,1168,43,2
0,2037,9264,6.82,2
3,0,6,0.136,4
1,66,431,6.82,4
0,44,0,1.43,3
3,0,2,0.0364,4
3,0,0,0.136,2
1,3,13,1.43,1
0,1128,759,43,4
3,112,0,0.0364,2
1,11,0,1.43,1
4,6,0,0.136,3
0,186,0,43,2
0,42,316,6.82,4
4,2,13,0.136,2
4,13,93,0.136,3
3,695,893,0.435,1
4,5,0,0.136,3
3,19,0,0.0364,3
2,19,60,0.435,4
0,45,0,6.82,4
3,78,229,0.136,4
0,3,0,1.43,3
1,1229,0,0.435,1
4,746,0,0.0364,2
4,4,0,1.43,2
0,2,2,0.136,1
3,27,0,0.435,2
0,8,22,0.136,4
3,0,0,1.43,4
4,3,12,0.136,2
0,4593,54100,43,2
2,19,0,0.435,3
2,7669,0,43,2
3,67,0,0.435,1
3,47,130,0.435,3
0,4,73,0.136,2
3,0,3,0.0364,4
3,507,0,0.435,4
3,0,1,1.43,4
1,65,0,0.435,4
0,16272,25607,43,2
3,21,0,6.82,4
0,841,0,43,2
4,525,965,43,2
0,5,30,1.43,2
2,10,0,0.435,4
0,87,0,0.435,4
3,10,0,0.435,3
0,36,0,6.82,4
2,1536,0,0.435,2
3,0,2,0.0364,4
0,0,0,0.0364,4
4,492,3289,43,4
3,20,0,0.136,4
3,19,21,0.136,2
4,13,29,0.136,4
4,1000,0,0.0364,4
2,42,152,1.43,3
3,598,3516,6.82,2
1,1138,0,0.435,2
0,0,6,1.43,3
3,3,18,6.82,3
