date,retweet_count,favorite_count,followers_count,predict_class_label
2017-12-19 05:04:00,171,3165,10,2
2017-12-19 05:03:24,339,6751,10,2
2017-12-19 05:02:40,96,1239,10,2
2017-12-19 05:01:58,126,2702,10,1
2017-12-19 05:01:45,99,1062,10,2
2017-12-19 05:00:42,232,4883,10,2
2017-12-19 05:00:17,105,1466,10,2
2017-12-19 04:59:24,154,2738,10,4
2017-12-14 20:20:12,10757,140412,10,4
2017-12-14 11:07:06,170,1955,10,2
2017-12-14 07:44:20,479,10785,10,2
2017-12-13 18:05:00,2338,26512,10,4
2017-12-13 17:44:07,496,9087,10,4
2017-12-13 17:40:08,229,2384,10,2
2017-12-13 17:34:38,216,2321,10,1
2017-12-13 17:32:52,226,2917,10,2
2017-12-13 17:31:32,233,2829,10,2
2017-12-13 17:30:50,1304,8154,10,2
2017-12-13 17:29:48,239,4050,10,2
2017-12-13 17:29:12,243,2939,10,4
2017-12-13 17:26:02,225,2862,10,2
2017-12-13 17:24:09,379,7454,10,2
2017-12-13 17:22:18,637,11411,10,1
2017-12-13 17:06:32,217,2006,10,4
2017-12-13 17:03:28,557,10004,10,4
2017-12-13 17:01:51,415,7736,10,4
2017-12-13 17:01:27,422,7170,10,4
2017-12-13 17:00:02,420,7538,10,4
2017-12-13 16:59:26,233,2826,10,2
2017-12-13 16:58:18,275,3701,10,4
2017-12-13 16:56:12,252,3045,10,4
2017-12-13 16:55:16,847,14523,10,4
2017-12-13 16:53:54,370,5776,10,4
2017-12-13 16:50:09,253,3278,10,2
2017-12-13 16:43:07,684,10910,10,2
2017-12-13 16:42:26,282,2937,10,4
2017-12-13 16:40:48,999,16556,10,2
2017-12-13 16:39:59,578,7786,10,1
2017-12-13 16:39:18,400,7341,10,2
2017-12-13 16:38:18,309,3758,10,4
2017-12-13 16:36:56,235,2716,10,4
2017-12-13 16:35:57,491,8879,10,4
2017-12-13 16:35:30,385,5688,10,4
2017-12-13 16:30:40,648,13380,10,4
2017-12-13 16:29:25,301,3641,10,1
2017-12-13 16:28:07,491,5224,10,2
2017-12-13 16:23:36,288,3691,10,4
2017-12-13 16:21:18,335,3429,10,2
2017-12-13 16:18:45,243,2524,10,2
2017-12-13 16:15:48,250,2795,10,2
2017-12-13 16:08:51,534,9099,10,2
2017-12-13 16:07:26,313,3397,10,4
2017-12-11 15:21:41,89096,547894,10,4
2017-12-10 08:36:16,2222,37506,10,4
2017-12-09 16:36:13,2493,36930,10,4
2017-12-08 10:31:13,898,0,10,4
2017-12-07 12:33:16,2616,46675,10,2
2017-12-01 12:42:31,4617,80964,10,2
2017-12-01 06:04:56,1446,23271,10,2
2017-11-30 17:10:21,1278,24004,10,2
2017-11-30 14:04:17,1117,17227,10,2
2017-11-29 03:07:00,4158,78657,10,4
2017-11-28 13:31:07,1111,19341,10,1
2017-11-27 11:22:03,2896,50326,10,4
2017-11-24 15:38:08,357,0,10,2
2017-11-24 15:37:25,2113,30791,10,4
2017-11-24 15:33:33,432,0,10,4
2017-11-24 15:33:03,701,10206,10,2
2017-11-23 03:40:44,272,0,10,4
2017-11-21 06:01:58,2253,25794,10,4
2017-11-20 14:32:05,569,9669,10,4
2017-11-20 14:31:32,179,2464,10,4
2017-11-20 14:30:55,142,1486,10,2
2017-11-20 14:30:13,126,1518,10,2
2017-11-20 14:29:53,300,3554,10,2
2017-11-20 14:29:00,284,5591,10,4
2017-11-20 14:28:06,281,3043,10,4
2017-11-20 14:26:06,280,2580,10,2
2017-11-20 14:24:36,130,1332,10,2
2017-11-20 13:45:28,1111,15013,10,4
2017-11-20 13:35:25,1390,17669,10,2
2017-11-15 09:27:23,2109,27645,10,2
2017-11-13 15:06:28,2545,35149,10,4
2017-11-11 08:05:35,1005,0,10,4
2017-11-11 06:20:14,1079,17405,10,2
